City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Sao Filipe,CV,14.8961,-24.4956,24.2,65,100,4.69,overcast clouds
129,Port Lincoln,AU,-34.7333,135.8667,18.63,56,26,9.23,scattered clouds
130,Itarema,BR,-2.9248,-39.9167,26.01,77,24,5.01,few clouds
131,Tenenkou,ML,14.4572,-4.9169,22.48,17,13,4.62,few clouds
132,Koumac,NC,-20.5667,164.2833,29.26,63,100,4.05,overcast clouds
133,Cayenne,GF,4.9333,-52.3333,27.27,84,75,2.24,broken clouds
134,North Platte,US,41.1239,-100.7654,10.55,29,0,1.34,clear sky
135,Meulaboh,ID,4.1363,96.1285,25.22,85,8,1.71,clear sky
136,Hargeysa,SO,9.56,44.065,12.63,68,5,3.74,clear sky
137,Puerto Madryn,AR,-42.7692,-65.0385,20.4,35,0,8.33,clear sky
138,Alice Springs,AU,-23.7,133.8833,26.75,78,100,8.75,overcast clouds
139,Itoman,JP,26.1247,127.6694,17.43,61,75,3.6,broken clouds
140,Butaritari,KI,3.0707,172.7902,27.56,78,100,5.72,light rain
141,Richards Bay,ZA,-28.783,32.0377,23.24,82,16,4.31,few clouds
142,Gamba,GA,-2.65,10.0,24.95,88,100,1.73,overcast clouds
143,Saint-Pierre,RE,-21.3393,55.4781,24.82,73,0,4.12,clear sky
144,Nioki,CD,-2.7167,17.6833,23.97,68,100,1.0,overcast clouds
145,Barentu,ER,15.1139,37.5928,17.25,62,2,1.31,clear sky
146,Yairipok,IN,24.6667,94.0667,6.26,89,23,0.12,few clouds
147,Brumunddal,NO,60.881,10.9395,-8.49,91,100,0.44,overcast clouds
148,Shemgang,BT,27.2169,90.6579,0.48,90,99,1.44,light snow
149,Severo-Kurilsk,RU,50.6789,156.125,-1.53,73,100,10.15,light snow
150,Ngaoundere,CM,7.3167,13.5833,14.48,22,25,2.02,scattered clouds
151,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,24.53,79,100,1.39,overcast clouds
152,Carnarvon,AU,-24.8667,113.6333,28.04,65,3,7.2,clear sky
153,Kaspiysk,RU,42.8816,47.6392,0.1,86,100,4.0,overcast clouds
154,Mazatlan,MX,23.2167,-106.4167,24.98,72,0,1.34,clear sky
155,Sitka,US,57.0531,-135.33,1.94,80,75,0.0,broken clouds
156,Torbay,CA,47.6666,-52.7314,-0.14,74,100,5.14,overcast clouds
157,Port Blair,IN,11.6667,92.75,20.02,94,20,0.0,mist
158,Mahina,PF,-17.5065,-149.489,29.87,58,20,2.57,few clouds
159,Bandarbeyla,SO,9.4942,50.8122,24.81,77,100,6.55,overcast clouds
160,Oxford,GB,51.7522,-1.256,7.35,86,100,0.45,overcast clouds
161,Bonfim,BR,3.0833,-59.95,27.96,54,38,3.29,scattered clouds
162,Pangody,RU,65.85,74.4859,-25.62,100,95,2.67,overcast clouds
163,Dubuque,US,42.4833,-90.8668,0.51,62,20,8.75,few clouds
164,San Cristobal,VE,7.7669,-72.225,23.1,83,95,1.15,overcast clouds
165,Dingle,PH,10.9995,122.6711,26.53,81,100,5.16,overcast clouds
166,Cheremshanka,RU,56.1192,60.268,-10.16,98,100,1.39,overcast clouds
167,Vestmannaeyjar,IS,63.4427,-20.2734,5.35,83,41,15.05,scattered clouds
168,Rulenge,TZ,-2.7175,30.6325,15.3,97,100,0.86,overcast clouds
169,Ilulissat,GL,69.2167,-51.1,-12.99,72,75,5.66,broken clouds
170,Talnakh,RU,69.4865,88.3972,-14.33,96,98,4.06,overcast clouds
171,Honiara,SB,-9.4333,159.95,29.7,75,57,1.88,broken clouds
172,Almas,RO,46.2833,22.2333,-1.81,97,100,0.96,overcast clouds
173,Abha,SA,18.2164,42.5053,11.9,82,0,3.09,clear sky
174,Skjervoy,NO,70.0311,20.9714,-0.56,61,100,4.37,light snow
175,Lasa,IT,46.6166,10.7002,1.5,94,100,3.33,light snow
176,Ewa Beach,US,21.3156,-158.0072,26.97,59,0,7.15,clear sky
177,Bagdarin,RU,54.4333,113.6,-27.35,96,16,1.65,few clouds
178,Lompoc,US,34.6391,-120.4579,16.43,75,0,4.12,clear sky
179,Anaconda,US,46.1285,-112.9423,-2.45,82,86,4.21,overcast clouds
180,Taoudenni,ML,22.6783,-3.9836,19.18,8,0,5.2,clear sky
181,Leningradskiy,RU,69.3833,178.4167,-27.17,95,73,4.18,broken clouds
182,Elizabeth City,US,36.2946,-76.2511,5.55,83,0,4.63,clear sky
183,Ouadda,CF,8.0777,22.4007,17.76,22,37,2.1,scattered clouds
184,Wajir,KE,1.7471,40.0573,23.88,73,100,6.67,overcast clouds
185,Iqaluit,CA,63.7506,-68.5145,-34.06,66,20,0.89,few clouds
186,Brookhaven,US,31.5791,-90.4407,13.81,76,83,2.64,broken clouds
187,Kaiserslautern,DE,49.45,7.75,4.66,61,75,1.34,broken clouds
188,Guerrero Negro,MX,27.9769,-114.0611,17.5,56,9,4.65,clear sky
189,Homer,US,59.6425,-151.5483,-1.79,69,0,3.6,clear sky
190,Lashio,MM,22.9333,97.75,8.46,76,0,0.32,clear sky
191,Lavrentiya,RU,65.5833,-171.0,-18.59,83,10,5.34,clear sky
192,Jumla,NP,29.2747,82.1838,-0.88,62,6,1.33,clear sky
193,Sidhi,IN,24.4167,81.8833,12.53,56,0,1.72,clear sky
194,Salalah,OM,17.0151,54.0924,20.05,73,0,2.06,clear sky
195,Atuona,PF,-9.8,-139.0333,25.82,77,12,8.17,few clouds
196,Oistins,BB,13.0667,-59.5333,26.05,78,40,4.12,scattered clouds
197,Kenitra,MA,34.261,-6.5802,15.4,68,0,1.04,clear sky
198,Camargo,MX,27.6667,-105.1667,16.2,19,0,3.98,clear sky
199,Port Hardy,CA,50.6996,-127.4199,7.09,81,75,4.63,light intensity shower rain
200,Port Hedland,AU,-20.3167,118.5667,30.03,79,100,0.51,overcast clouds
201,Kununurra,AU,-15.7667,128.7333,29.99,70,75,6.17,broken clouds
202,Sur,OM,22.5667,59.5289,22.2,57,0,1.73,clear sky
203,Hami,CN,42.8,93.45,-7.05,40,8,0.68,clear sky
204,Dodge City,US,37.7528,-100.0171,15.12,33,0,3.09,clear sky
205,Bambous Virieux,MU,-20.3428,57.7575,26.23,78,75,8.23,broken clouds
206,Sorland,NO,67.667,12.6934,1.08,56,100,5.6,overcast clouds
207,Chuy,UY,-33.6971,-53.4616,16.72,65,1,3.69,clear sky
208,Narsaq,GL,60.9167,-46.05,-2.88,89,100,2.59,light snow
209,Sangin,AF,32.0728,64.8359,7.19,49,0,3.81,clear sky
210,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-2.9,80,100,6.0,light shower snow
211,Esperance,AU,-33.8667,121.9,17.91,55,60,7.48,broken clouds
212,Kavaratti,IN,10.5669,72.642,26.91,72,5,4.44,clear sky
213,Porto San Giorgio,IT,43.1827,13.7934,7.64,83,95,4.98,overcast clouds
214,Ancud,CL,-41.8697,-73.8203,15.74,82,58,3.3,broken clouds
215,Puerto Ayora,EC,-0.7393,-90.3518,23.64,94,84,2.45,broken clouds
216,Jatiroto,ID,-7.8833,111.1167,25.99,82,100,1.15,overcast clouds
217,Kolda,SN,12.8833,-14.95,24.17,43,0,1.03,clear sky
218,Tasiilaq,GL,65.6145,-37.6368,-12.91,95,93,3.01,overcast clouds
219,Dunedin,NZ,-45.8742,170.5036,18.78,82,100,6.26,overcast clouds
220,Brest,BY,52.1,23.7,-2.54,82,82,4.42,broken clouds
221,Necochea,AR,-38.5473,-58.7368,13.91,54,23,4.35,few clouds
222,Sabang,ID,5.8933,95.3214,27.55,74,100,4.92,overcast clouds
223,Liku,ID,-0.7275,119.8922,28.42,66,66,0.98,broken clouds
224,Saint-Philippe,RE,-21.3585,55.7679,24.77,79,100,6.66,overcast clouds
225,Palana,RU,59.1167,159.9667,-9.05,82,100,6.94,overcast clouds
226,Talcahuano,CL,-36.7167,-73.1167,14.94,72,0,4.97,clear sky
227,Rio Gallegos,AR,-51.6226,-69.2181,11.03,58,20,15.43,few clouds
228,San Patricio,US,28.017,-97.5169,20.23,97,100,4.81,overcast clouds
229,Vardo,NO,70.3705,31.1107,-14.89,80,28,3.72,scattered clouds
230,Tambo,PE,-14.8,-73.9167,1.9,95,100,2.69,overcast clouds
231,Kristiinankaupunki,FI,62.2743,21.376,-12.9,96,44,3.21,scattered clouds
232,Henties Bay,NA,-22.116,14.2845,21.03,78,100,3.31,overcast clouds
233,Praia Da Vitoria,PT,38.7333,-27.0667,15.42,88,40,8.18,scattered clouds
234,Ponta Do Sol,PT,32.6667,-17.1,18.89,84,24,5.81,few clouds
235,Phetchaburi,TH,12.9667,99.5833,23.06,70,60,0.99,broken clouds
236,Bardiyah,LY,31.7561,25.0865,12.15,74,23,5.81,few clouds
237,Port Moresby,PG,-9.4431,147.1797,29.68,70,75,7.72,haze
