City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
216,Jatiroto,ID,-7.8833,111.1167,25.99,82,100,1.15,overcast clouds,Mushola Al Huda
219,Dunedin,NZ,-45.8742,170.5036,18.78,82,100,6.26,overcast clouds,Scenic Hotel Southern Cross
222,Sabang,ID,5.8933,95.3214,27.55,74,100,4.92,overcast clouds,Hotel Citra
223,Liku,ID,-0.7275,119.8922,28.42,66,66,0.98,broken clouds,Wahyu
224,Saint-Philippe,RE,-21.3585,55.7679,24.77,79,100,6.66,overcast clouds,"Chambres d'hôte ""La Trinité"""
228,San Patricio,US,28.017,-97.5169,20.23,97,100,4.81,overcast clouds,"Motel 6 Sinton, TX"
233,Praia Da Vitoria,PT,38.7333,-27.0667,15.42,88,40,8.18,scattered clouds,Hotel Branco I
234,Ponta Do Sol,PT,32.6667,-17.1,18.89,84,24,5.81,few clouds,Hotel do Campo
235,Phetchaburi,TH,12.9667,99.5833,23.06,70,60,0.99,broken clouds,ไร่แม่คะเมยฮิลล์ แก่งกระจาน เพชรบุรี
237,Port Moresby,PG,-9.4431,147.1797,29.68,70,75,7.72,haze,Lamana Hotel (Port Moresby)
238,Kirakira,SB,-10.4544,161.9205,29.4,72,82,2.49,broken clouds,SanBiz Lodge
240,Salinopolis,BR,-0.6136,-47.3561,25.03,86,100,6.02,overcast clouds,Salinas Park Resort Maçarico AP101
241,Saldanha,ZA,-33.0117,17.9442,19.03,84,8,3.6,clear sky,Blue Bay Lodge
244,Ribeira Grande,PT,38.5167,-28.7,15.52,74,16,6.15,few clouds,Quinta da Meia Eira
252,Tautira,PF,-17.7333,-149.15,30.01,78,24,8.62,light rain,Pension Oaoa
255,Hope,US,33.6671,-93.5916,18.03,65,100,2.24,overcast clouds,Best Western Hope
260,Yarada,IN,17.65,83.2667,18.18,100,20,1.03,mist,Yarada Jungle Beach Resorts
264,Ibirataia,BR,-14.0669,-39.6406,21.87,99,39,0.7,scattered clouds,Pousada e Restaurante Tambuque
265,Waipawa,NZ,-41.4122,175.5153,23.35,53,100,3.63,overcast clouds,Tora Coastal Walk
268,Port Augusta,AU,-32.5,137.7667,24.28,62,100,9.11,overcast clouds,Majestic Oasis Apartments
